Persecution at School	Sukuu Ɔtae
Ours must be too .	Ɛsɛ sɛ yɛn nso yenya akokoduru a ɛte saa ara .
*	*
5 : 22 .	5 : 22 .
17 , 18 .	17 , 18 .
[ Footnote ]	[ Ase hɔ asɛm ]
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
It is similar today .	Saa ara na ɛte nnɛ .
1 : 15 .	1 : 15 .
7 , 8 .	7 , 8 .
4 : 8 , 11 , 12 .	4 : 8 , 11 , 12 .
What should they do ?	Dɛn na ɛsɛ sɛ wɔyɛ ?
10 , 11 .	10 , 11 .
15 : 2 , 3 , 5 .	15 : 2 , 3 , 5 .
4 : 8 .	4 : 8 .
13 - 15 .	13 - 15 .
Why ?	Dɛn ntia ?
16 , 17 .	16 , 17 .
8 : 16 ; 14 : 14 .	8 : 16 ; 14 : 14 .
* ( Read . )	* ( Monkenkan . )
Do not hold back !	Ma wonhu wo dɔ !
[ Footnote ]	[ Ase hɔ asɛm ]
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
[ Picture on page 19 ]	[ Kratafa 19 mfonini ]
3 : 8 .	3 : 8 .
1 , 2 .	1 , 2 .
5 : 5 .	5 : 5 .
No .	Dabi .
11 : 19 .	11 : 19 .
It improves family life .	Ɛma abusua asetena yɛ papa .
( Read Hebrews 4 : 12 . )	( Monkenkan Hebrifo 4 : 12 . )
Money will be worthless .	Sika bɛyɛ ade a mfaso biara nni so .
What does it involve ?	Dɛn na ɛhwehwɛ ?
6 : 19 , 20 , 24 .	6 : 19 , 20 , 24 .
No .	Dabi .
3 : 8 .	3 : 8 .
14 , 15 .	14 , 15 .
34 : 8 ; Prov .	34 : 8 ; Mmeb .
10 : 22 .	10 : 22 .
3 : 9 .	3 : 9 .
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
1 , 2 .	1 , 2 .
How would you respond ?	Wobɛte nka dɛn wɔ nea wayɛ no ho ?
( Read Romans 7 : 24 . )	( Monkenkan Romafo 7 : 24 . )
Why We Need Deliverance	Nea Enti a Yehia Ogye
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
( Read Romans 3 : 23 . )	( Monkenkan Romafo 3 : 23 . )
Why ?	Dɛn ntia ?
103 : 10 .	103 : 10 .
What would that involve ?	Ná dɛn na ɛno bɛhwehwɛ sɛ ɔyɛ ?
25 : 22 ; Lev .	25 : 22 ; Lev .
16 : 1 - 30 .	16 : 1 - 30 .
9 : 24 , 25 .	9 : 24 , 25 .
53 : 4 , 5 , 7 .	53 : 4 , 5 , 7 .
Why ?	Dɛn ntia ?
13 , 14 .	13 , 14 .
11 : 19 .	11 : 19 .
How do you fit in ?	Saa asɛm yi fa wo ho dɛn ?
Of course not !	Ɛda adi sɛ ɛnte saa koraa !
Think of it !	Susuw ho hwɛ !
8 : 21 .	8 : 21 .
[ Footnote ]	[ Ase hɔ asɛm ]
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
3 : 17 ; Col .	3 : 17 ; Kol .
2 : 6 , 7 .	2 : 6 , 7 .
The Children’s Role	Nea Ɛsɛ sɛ Mmofra Yɛ
25 : 14 ; Jas .	25 : 14 ; Yak .
4 : 8 .	4 : 8 .
Get involved .	Mprɛ nto obi so .
10 : 24 , 25 .	10 : 24 , 25 .
The Parents ’ Role	Nea Ɛsɛ sɛ Awofo Yɛ
The result ?	Dɛn na efi mu bae ?
1 : 3 .	1 : 3 .
Your Personal Choice	Gyinae a Ɛsɛ sɛ W’ankasa Wusi
41 : 10 .	41 : 10 .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
I Found Meaning in Life	Minyaa Biribi a Ɛsom Bo wɔ Asetena Mu
37 : 11 , 29 ; Isa .	37 : 11 , 29 ; Yes .
9 : 6 , 7 ; Matt .	9 : 6 , 7 ; Mat .
6 : 9 , 10 .	6 : 9 , 10 .
21 : 4 .	21 : 4 .
[ Picture on page 32 ]	[ Kratafa 32 mfonini ]
WHAT is the holy spirit ?	DƐN ne honhom kronkron ?
Why such confusion ?	Dɛn nti na ɛsono mmuae a obiara de ma ?
Are they right ?	So wɔn asɛm no yɛ nokware ?
[ Blurb on page 3 ]	
What Is the Holy Spirit ?	Dɛn ne Honhom Kronkron ?
That defies logic .	Ntease nni eyi mu .
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Credit Line ]	[ Asɛm Fibea ]
Photodisc / ​ SuperStock	Photodisc / SuperStock
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 8 ]	[ Asɛm a wɔafa aka wɔ kratafa 8 ]
THE HOLY SPIRIT IN ACTION	Dwuma A Honhom Kronkron Di
Religion’s Failure	Nyamesom Adi Nnipa Huammɔ
*	*
Better Off Without God ?	So Wɔn a Wonnye Onyankopɔn Nni no wɔ Ahotɔ ?
Why ?	Dɛn ntia ?
*	*
*	*
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Mankind’s Creator and You	Wo ne Ɔbɔadeɛ no Ntam Abusuabɔ
[ Footnotes ]	[ Ase hɔ asɛm ]
on pages 29 - 31 .	a ɛwɔ October 1 , 2009 , Watchtower no kratafa 29 - 31 no .
[ Box on page 13 ]	[ Kratafa 1 adaka ]
Table of Contents	Emu Nsɛm
IN THIS ISSUE	NEA ƐWƆ EYI MU
15 Our Readers Ask	15 “ Bere a Wɔahyɛ ” no Abɛn
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
PAGE 29	KRATAFA 29
Table of Contents	Emu Nsɛm
October 15 , 2009	October 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
PAGE 3	KRATAFA 3
December 7 - 13 , 2009	December 7 - 13 , 2009
PAGE 7	KRATAFA 7
December 14 - 20 , 2009	December 14 - 20 , 2009
“ You Are My Friends ”	“ Moyɛ Me Nnamfo ”
PAGE 13	KRATAFA 13
December 21 - 27 , 2009	December 21 - 27 , 2009
PAGE 17	KRATAFA 17
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
PAGE 12	KRATAFA 12
PAGE 22	KRATAFA 22
PAGE 26	KRATAFA 26
PAGE 29	KRATAFA 29
PAGE 32	KRATAFA 32
12 : 11 .	12 : 11 , NW .
Let us see how .	Ma yɛnhwɛ sɛnea ɛte .
A Living Sacrifice	Afɔrebɔde a Ɛte Ase
Read Romans 12 : 1 , 2 .	Monkenkan Romafo 12 : 1 , 2 .
2 : 1 - 3 .	2 : 1 - 3 .
Varied Gifts	Akyɛde a Egu Ahorow
4 , 5 .	4 , 5 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
12 : 7 , 8 ; 1 Pet .	12 : 7 , 8 ; 1 Pet .
5 : 1 - 3 .	5 : 1 - 3 .
Slave for Jehovah . ”	Monsom Yehowa . ”
Humility and Modesty	Ahobrɛase
Read Romans 12 : 3 , 16 .	Monkenkan Romafo 12 : 3 , 16 .
5 : 5 .	5 : 5 .
Our Christian Unity	Sɛnea Yɛbɛyɛ Biako wɔ Asafo no Mu
4 : 15 , 16 .	4 : 15 , 16 .
The Course of Hospitality	Ahɔhoyɛ
Read Romans 12 : 13 .	Monkenkan Romafo 12 : 13 .
Fellow Feeling	Munnya Tema
Read Romans 12 : 15 .	Monkenkan Romafo 12 : 15 .
He shared their joy .	Yesu nyaa anigye a wonyae no bi .
By Way of Review	Ntĩmu
[ Pictures on page 4 ]	[ Mfonini ahorow wɔ kratafa 4 ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
12 : 18 .	12 : 18 .
“ Provide Fine Things ”	“ Munnwen Nneɛma a Ɛyɛ Fɛ ”
3 , 4 .	3 , 4 .
Read Romans 12 : 17 .	Monkenkan Romafo 12 : 17 .
Read Romans 12 : 20 .	Monkenkan Romafo 12 : 20 .
2 : 12 .	2 : 12 .
Read Romans 12 : 18 .	Monkenkan Romafo 12 : 18 .
3 : 17 , 18 .	3 : 17 , 18 .
10 , 11 .	10 , 11 .
Read Romans 12 : 19 .	Monkenkan Romafo 12 : 19 .
20 : 22 .	20 : 22 .
1 : 5 - 8 .	1 : 5 - 8 .
Conquering Evil With Good	Sɛnea Yɛde Papa Bedi Bɔne so Nkonim
4 : 12 , 13 .	4 : 12 , 13 .
4 : 12 , 13 .	4 : 12 , 13 .
Rejoicing in the Hope	Sɛnea Yebedi Ahurusi Anidaso Mu
16 , 17 .	16 , 17 .
Read Romans 12 : 12 .	Monkenkan Romafo 12 : 12 .
By Way of Review	Ntĩmu
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
“ You Are My Friends ”	“ Moyɛ Me Nnamfo ”
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
11 : 19 .	11 : 19 .
20 : 20 - 28 .	20 : 20 - 28 .
26 : 41 .	26 : 41 .
7 , 8 .	7 , 8 .
( Read John 17 : 11 . )	( Monkenkan Yohane 17 : 11 . )
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
9 , 10 .	9 , 10 .
11 , 12 .	11 , 12 .
2 : 16 .	2 : 16 .
16 , 17 .	16 , 17 .
9 : 7 .	9 : 7 .
19 , 20 .	19 , 20 .
18 : 24 .	18 : 24 .
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 14 ]	[ Kratafa 19 mfonini ]
[ Pictures on page 16 ]	[ Mfonini ahorow wɔ kratafa 16 ]
3 , 4 .	3 , 4 .
How to Make Good Friends	Sɛnea Yebenya Nnamfo Pa
Take the initiative .	Di kan tu ho anammɔn .
9 , 10 .	9 , 10 .
11 : 13 .	11 : 13 .
Be loyal .	Yɛ ɔnokwafo .
Are we like Jonathan ?	So yɛte sɛ Yonatan ?
12 - 14 .	12 - 14 .
( Read Psalm 18 : 25 . )	( Monkenkan Dwom 18 : 25 . )
18 , 19 .	18 , 19 .
( Read Psalm 141 : 5 . )	( Monkenkan Dwom 141 : 5 . )
How did they react ?	Wɔyɛɛ wɔn ade dɛn ?
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
[ Picture on page 19 ]	[ Kratafa 19 mfonini ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
Why not ?	Dɛn ntia ?
Consider two reasons .	Susuw nneɛma abien ho hwɛ .
Certainly not !	Dabida !
Yes .	Yiw .
6 : 6 - 8 ; Eph .	6 : 6 - 8 ; Efe .
6 : 4 .	6 : 4 .
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
That happened to me .	Ebi too me .
I too saluted .	Me nso mikyiaa frankaa no bi .
A Lesson in Courage	Misuaa Sɛnea Menya Akokoduru
We became friends .	Yɛbɛyɛɛ nnamfo .
Louis , Missouri .	Louis a ɛwɔ Missouri no bi .
Louis .	Louis no .
Many canceled .	Wɔn mu pii yɛɛ saa .
Some 15,000 stood up .	Mmofra bɛyɛ 15,000 sɔre gyinaa hɔ .
I did too .	Me nso mesɔree bi .
I was fired up .	Ɛhyɛɛ me den yiye .
I listened breathlessly .	Mede ahodwiriw tiee no .
He glared at me .	Ɔde abufuw hwɛɛ me .
29 : 25 .	29 : 25 .
Those were happy years .	Yɛn ani gyei saa mmere no .
Look after them ! ”	Hwɛ wɔn so ! ”
This place is rugged . ”	Saa beae yi yɛ mmonkyemmɔnka . ”
Precious Reunions	Yɛasan Ahyia Yɛn Nnamfo a Yɛdɔ Wɔn No
Her name ?	Wunim onipa ko ?
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
My friend Ben	M’adamfo Ben
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
On Brazilian soil	Yɛwɔ Brazil
[ Picture on page 25 ]	
With Evelyn today	Me ne Evelyn nnɛ
Why ?	Dɛn ntia ?
What is that foundation ?	Dɛn ne saa fapem no ?
2 : 4 - 8 .	2 : 4 - 8 .
2 : 1 - 5 .	2 : 1 - 5 .
2 : 2 .	2 : 2 .
Test Your Understanding	Sɔ Wo Ntease Hwɛ
14 : 3 , 4 .	14 : 3 , 4 .
3 : 15 .	3 : 15 .
Surely !	Akyinnye biara nni ho sɛ ɛte saa !
1 : 1 - 3 ; Jer .	1 : 1 - 3 ; Yer .
17 : 7 , 8 .	17 : 7 , 8 .
“ To the Ephesians ”	“ Ɔde Kɔmaa Efesofo ”
1 : 3 - 10 .	1 : 3 - 10 .
25 : 33 .	25 : 33 .
24 : 21 .	24 : 21 .
2 : 12 .	2 : 12 .
Be Consistent	Monyɛ no Daa
1 : 10 .	1 : 10 .
Make It Practical	Munsua Nneɛma a Ɛbɛboa Mo
How ?	Ɔkwan bɛn so na ɛte saa ?
2 : 15 .	2 : 15 .
Make It Enjoyable	Ma Ɛnyɛ Anigye
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Box on page 31 ]	[ Kratafa 31 adaka ]
Be Creative	Sakra Mu
[ Picture on page 30 ]	[ Kratafa 30 mfonini ]
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Why ?	Dɛn ntia ?
The result ?	Dɛn na efi mu bae ?
Can he give an example ?	So obetumi ama nhwɛso bi ?
Keys to Family Happiness	Nea Ɛma Abusua Nya Anigye
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
*	*
Why ?	Dɛn ntia ?
Then switch lists .	Afei gye ne krataa no , na wo nso fa wo de no ma no .
Were they disappointed ?	So ɛhaw wɔn ?
Naturally .	Yiw .
Keep a positive outlook .	Nya nneɛma ho adwempa .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Have more social contact	▪ Ɛsɛ sɛ yɛde botae bi sisi yɛn ani so
Have mutual goals	[ Mfonini wɔ kratafa 20 ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
What We Learn From Jesus	Nea Yesua Fi Yesu Hɔ
About Family Life	Wɔ Abusua Asetena Ho
With what effect ?	Dɛn na efii mu bae ?
* [ Footnote ]	[ Ase hɔ asɛm ]
Why ?	Dɛn ntia ?
Her goal ?	Dɛn ntia ?
Why ?	Dɛn ntia ?
With what response ?	Dɛn na afi mu aba ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Graph on page 25 ]	[ Akontaabu pon wɔ kratafa 25 ]
NEW WORLD TRANSLATION	WIASE FOFORO NHOMA
1950 1 *	Wɔakyerɛ ne nyinaa
1970 7 *	anaa ne fã bi ase
1990 13 *	80 2010 500 2010
2000 36 *	36 2000
2010 80 *	13 1990 200 1990
OTHER PUBLICATIONS	190 1980
1950 88 *	7 1970 165 1970
1960 125 *	125 1960
1970 165 *	
1980 190 * 1990 200 *	1 1950 88 1950
2010 500 *	KASA AHOROW
* NUMBER OF LANGUAGES	
BENIN	BENIN
SLOVENIA	SLOVENIA
ETHIOPIA	ETIOPIA
BRITAIN	BRITAIN
Draw Close to God	Bɛn Onyankopɔn
Jehovah Gives Us a Choice	Yehowa Ma Yɛpaw Nea Yɛpɛ
Deuteronomy 30 : 11 - 20	Deuteronomium 30 : 11 - 20
Is that the case ?	So saa na ɛte ?
No .	Dabi .
They are also knowable .	Afei nso , ɛnyɛ den sɛ yebehu .
Of course it does !	Yiw , ɛho hia no paa !
So I can be faithful . ”	Eyi nti , metumi adi no nokware . ”
[ Footnote ]	[ Ase hɔ asɛm ]
Table of Contents	Emu Nsɛm
November 15 , 2009	November 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
PAGE 3	KRATAFA 3
January 4 - 10 , 2010	January 4 - 10 , 2010
PAGE 7	KRATAFA 7
January 11 - 17 , 2010	January 11 - 17 , 2010
PAGE 13	KRATAFA 13
January 18 - 24 , 2010	January 18 - 24 , 2010
PAGE 20	KRATAFA 20
January 25 - 31 , 2010	January 25 - 31 , 2010
PAGE 24	KRATAFA 24
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
PAGE 12	KRATAFA 12
PAGE 18	KRATAFA 18
PAGE 29	KRATAFA 29
PAGE 30	KRATAFA 30
65 : 2 .	65 : 2 .
1 , 2 .	1 , 2 .
28 : 13 ; Jas .	28 : 13 ; Yak .
5 : 13 - 16 .	5 : 13 - 16 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
6 , 7 .	6 , 7 .
29 : 11 - 13 .	29 : 11 - 13 .
Pray for Others	Bɔ Mpae ma Afoforo
8 , 9 .	8 , 9 .
13 : 18 .	13 : 18 .
Our Prayers Say Even More	Nneɛma Foforo a Yɛn Mpaebɔ Ka Fa Yɛn Ho
Let your kingdom come .	W’ahenni mmra .
6 : 9 , 10 .	6 : 9 , 10 .
13 , 14 .	13 , 14 .
6 : 7 .	6 : 7 .
15 , 16 .	15 , 16 .
10 : 31 , 32 ; 2 Cor .	10 : 31 , 32 ; 2 Kor .
6 : 3 .	6 : 3 .
Pray for What ?	Dɛn na Ɛsɛ sɛ Yɛbɔ Ho Mpae ?
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
1 : 11 .	1 : 11 .
1 , 2 .	1 , 2 .
3 , 4 .	3 , 4 .
24 : 12 - 14 .	24 : 12 - 14 .
5 : 18 .	5 : 18 .
5 , 6 .	5 , 6 .
32 : 9 - 12 .	32 : 9 - 12 .
Pray for Wisdom	Bɔ Mpae Srɛ Nyansa
Pray From the Heart	Fi Komam Bɔ Mpae
9 , 10 .	9 , 10 .
11 , 12 .	11 , 12 .
42 : 5 , 11 ; 43 : 5 .	42 : 5 , 11 ; 43 : 5 .
Pray in Faith	Fa Gyidi Bɔ Mpae
14 , 15 .	14 , 15 .
1 : 9 - 18 .	1 : 9 - 18 .
2 : 1 - 10 .	2 : 1 - 10 .
16 , 17 .	16 , 17 .
Who was “ this man ” ?	Ná hena ne “ ɔbarima yi ” a ɔreka ne ho asɛm no ?
1 : 11 .	1 : 11 .
18 , 19 .	18 , 19 .
27 : 4 ; 122 : 1 .	27 : 4 ; 122 : 1 .
They should .	Saa na ɛsɛ sɛ ɛyɛ .
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
Do you ?	Ɛte saa wɔ wo fam anaa ?
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
5 : 2 .	5 : 2 .
2 , 3 .	2 , 3 .
How can we do so ?	Yɛbɛyɛ dɛn atumi ayɛ saa ?
“ You , Too , Widen Out ”	“ Mo Nso Montrɛw Mo Komam ”
5 , 6 .	5 , 6 .
What about us ?	Na yɛn nso ɛ ?
8 , 9 .	8 , 9 .
( Read Romans 15 : 7 . )	( Monkenkan Romafo 15 : 7 . )
Make Time for Others	Nya Afoforo Ho Adagyew
13 : 5 .	13 : 5 .
The key is humility .	Saa safe no ne ahobrɛase .
( Read James 4 : 10 . )	( Monkenkan Yakobo 4 : 10 . )
What happened next ?	Dɛn na edii akyi bae ?
20 , 21 .	20 , 21 .
[ Footnote ]	[ Ase hɔ asɛm ]
Do You Remember ?	So Wokae ?
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
5 : 1 .	5 : 1 .
No .	Dabi .
Talk to them . ”	Wo ne wɔn mmɔ nkɔmmɔ . ”
How do they do it ?	Ɔkwan bɛn na wɔfa so yɛ ?
We smile and greet them .	Yɛserew kyerɛ wɔn , na yekyia wɔn .
11 , 12 .	11 , 12 .
How should we react ?	Dɛn na ɛsɛ sɛ yɛyɛ wɔ ho ?
Yes .	Yiw .
14 , 15 .	14 , 15 .
41 : 16 , 33 , 34 .	41 : 16 , 33 , 34 .
11 : 35 - 40 .	11 : 35 - 40 .
19 , 20 .	19 , 20 .
[ Footnote ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Box on page 27 ]	[ Kratafa 18 adaka ]
Start With a Warm Smile	Di Kan Serew
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
12 : 18 .	12 : 18 .
8 : 34 , 35 .	8 : 34 , 35 .
It is simply different .	Nsonsonoe kɛkɛ na ɛwom .
4 : 15 .	4 : 15 .
12 : 6 - 8 .	12 : 6 - 8 .
It was desire .	Ná ɛsono nea wɔn mu biara pɛ .
9 : 7 .	9 : 7 .
9 , 10 .	9 , 10 .
2 : 13 ; 4 : 13 .	2 : 13 ; 4 : 13 .
6 : 8 .	6 : 8 .
13 , 14 .	13 , 14 .
Keep Your Place !	Kɔ so Boa Asafo No !
Do You Recall ?	So Wokae ?
[ Pictures on page 16 ]	[ Mfonini ahorow wɔ kratafa 16 ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
2 : 11 , 12 .	2 : 11 , 12 .
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
Consider three examples .	Susuw nhwɛso abiɛsa yi ho hwɛ .
They did so eagerly .	Wɔde anigye yɛɛ saa .
29 : 3 - 9 ; 2 Chron .	29 : 3 - 9 ; 2 Be .
5 : 1 .	5 : 1 .
[ Box on page 18 , 19 ]	[ Adaka wɔ kratafa 18 , 19 ]
CHARITABLE PLANNING	ADƆE HO NHYEHYƐE
These include :	Eyinom mu bi ne :
100 Watchtower Drive	100 Watchtower Drive Patterson ,
Why ?	Dɛn ntia ?
What Can You Do ?	Dɛn na Wubetumi Ayɛ ?
What can you do ?	Dɛn na wubetumi ayɛ ?
Try to communicate .	Bɔ mmɔden sɛ wo ne no bɛbɔ nkɔmmɔ .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
[ Pictures on page 32 ]	[ Kratafa 32 mfonini ahorow ]
[ Box on page 8 ]	[ Kratafa 8 adaka ]
• Unprecedented warfare	• Akodi a ɛso bi mmae da
• Great earthquakes	• Asasewosow akɛse
• Food shortages	• Aduankɔm
• Pestilences	• Ɔyaredɔm
MATTHEW 24 : 12	MATEO 24 : 12
• Increasing lawlessness	• Amumɔyɛ a ɛbɛdɔɔso
• Love cooling off	• Ɔdɔ ano a ebedwo
REVELATION 11 : 18	ADIYISƐM 11 : 18
• Ruining of the earth	• Asase no a wɔresɛe no
2 TIMOTHY 3 : 2	2 TIMOTEO 3 : 2
• Disobedience to parents	• Awofo so asoɔden
2 TIMOTHY 3 : 3	2 TIMOTEO 3 : 3
2 TIMOTHY 3 : 4	2 TIMOTEO 3 : 4
2 TIMOTHY 3 : 5	2 TIMOTEO 3 : 5
MATTHEW 24 : 39	MATEO 24 : 39
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
What went wrong ?	Dɛn na ɛtotoe ?
And the victims ?	Na wɔn a wowuwui ne wɔn a wopirapirae no nso ɛ ?
Immediate Reactions	Wɔkyerɛ Ho Anisɔ Ntɛm
My mood varies .	Mitumi yɛ basaa .
and what if ?	Afei nso , na wobisa wɔn ho sɛ , sɛ wɔn na ɛtoo wɔn a anka wɔbɛyɛ dɛn ?
That is nice . ”	Eyinom nyinaa hyɛɛ me nkuran . ”
What else helps him ?	Dɛn bio na ɛboaa no ?
Soon No More Suffering	Ɛrenkyɛ Amanehunu To Betwa
Why regrettably ?	Dɛn nti na yɛka sɛ ɛyɛ awerɛhosɛm ?
God promised : “ Look !	Onyankopɔn hyɛ bɔ sɛ : “ Hwɛ !
[ Footnote ]	[ Ase hɔ asɛm ]
Awake !	O .
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
Focus Agency / ​ WPN	Focus Agency / WPN
© imagebroker / ​ Alamy	© imagebroker / Alamy
Foto : picture alliance	Mfonini : picture alliance
Foto : picture alliance	Mfonini : picture alliance
Did You Know ?	So Wunim ?
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
A Trip Into the Past	Yetuu Kwan Kɔhwɛɛ Yɛn Nkyi
Picture the scene .	Yɛ tebea no ho mfonini hwɛ .
What awaits us ?	Ná dɛn na ebesi wɔ hɔ ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
We cannot .	Yentumi nhu .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Teach Your Children	Marko Ampa Abaw
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Young Jeremiah did .	Nanso , wamma nea afoforo kae anaa nea wɔyɛe ammu n’abam .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Do not be afraid . ”	Nsuro . ”
Why not ?	Dɛn ntia ?
So he decided to quit .	Enti ɔyɛɛ n’adwene sɛ obegyae .
But did he really quit ?	Nanso , so ogyaee Yehowa som ampa ?
He did not quit .	Wannyae Yehowa som .
Our Readers Ask	Nsɛm a Akenkanfo Bisa
Is this story true ?	So asɛm yi yɛ nokware ?
Let us see .	Ma yɛnhwɛ .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Surely the answer is no .	Akyinnye biara nni ho sɛ , ɛnsɛ sɛ wɔyɛ saa da . — w09 - E 12 / 1 .
Table of Contents	Emu Nsɛm
December 15 , 2009	December 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
February 1 - 7 , 2010	February 1 - 7 , 2010
PAGE 11	KRATAFA 11
